organism_level_trait	QTL_Chr	QTL	mediator_transcript	mediator_gene	eQTL	mediation_estimate	adjusted_p	prop_med	q99_mediator
telomere_resids	II	14156272	R06B9.3.2	arrd-13	13839152	0.0776654559089899	0.004	0 ≤ prop_med ≤ 1	Other genes
telomere_resids	II	14156272	R06B9.3.1	arrd-13	13839152	0.0641852656761958	0.007	0 ≤ prop_med ≤ 1	Other genes
telomere_resids	II	14156272	Y46G5A.5.2	pisy-1	12738776	0.086948373328768	0.026	0 ≤ prop_med ≤ 1	pisy-1
telomere_resids	II	14156272	F56A4.11	F56A4.11	13781845	0.0792740090910809	0.034	NA	Other genes
telomere_resids	II	14156272	F57C2.6a.2	spat-1	13927342	0.143654516410135	0.043	0 ≤ prop_med ≤ 1	spat-1
telomere_resids	II	14156272	Y19D10A.10	Y19D10A.10	13781845	0.0792740090910809	0.043	NA	Other genes
telomere_resids	II	14156272	Y48E1B.10.1	gst-20	13605531	0.0331422037331268	0.067	NA	Other genes
telomere_resids	II	14156272	ZK666.15.2	ZK666.15	12618952	0.0619139437462278	0.067	NA	Other genes
telomere_resids	II	14156272	F15D4.6.1	F15D4.6	13264654	0.0331406563312432	0.07	NA	Other genes
telomere_resids	II	14156272	W09H1.1a.1	W09H1.1	13519520	0.0252753437364822	0.077	NA	Other genes
telomere_resids	II	14156272	Y53F4B.17.1	Y53F4B.17	14870791	0.0854766414848958	0.078	0 ≤ prop_med ≤ 1	Other genes
telomere_resids	II	14156272	Y46G5A.18b.1	Y46G5A.18	12724884	0.0531978290712378	0.086	NA	Other genes
telomere_resids	II	14156272	F15A4.9.1	arrd-9	12458240	0.0367251538803657	0.087	NA	Other genes
telomere_resids	II	14156272	W07G1.6.1	sre-43	13982643	0.0216377445305535	0.091	NA	Other genes
telomere_resids	II	14156272	Y46G5A.2.2	cox-10	12630714	0.0370482351495965	0.091	NA	Other genes
telomere_resids	II	14156272	C01B9.1b.1	C01B9.1	13519520	0.0348553563948747	0.099	NA	Other genes
telomere_resids	II	14156272	Y48B6A.14.1	hmg-1.1	14342432	0.0247796111531567	0.126	NA	Other genes
telomere_resids	II	14156272	F45F2.10.1	F45F2.10	12708886	0.0218513415317195	0.127	NA	Other genes
telomere_resids	II	14156272	W01G7.5.1	lem-2	14080205	0.0187002784330485	0.129	NA	Other genes
telomere_resids	II	14156272	T10C6.7.2	T10C6.7	13119784	0.015384845116831	0.143	NA	Other genes
telomere_resids	II	14156272	ZK131.11b.1	ZK131.11	13817664	0.0455947698689173	0.15	NA	Other genes
telomere_resids	II	14156272	C08E3.11	fbxa-159	13907987	0.00706554616252856	0.153	NA	Other genes
telomere_resids	II	14156272	Y51H1A.3b.1	Y51H1A.3	14485466	0.0197554582578102	0.153	NA	Other genes
telomere_resids	II	14156272	F59E10.2.1	cyn-4	11299183	0.021493796430148	0.159	NA	Other genes
telomere_resids	II	14156272	Y53F4B.20.1	Y53F4B.20	14906775	0.0429541615574387	0.164	NA	Other genes
telomere_resids	II	14156272	Y53F4B.22a.2	arp-1	14870791	0.0257041985845103	0.169	NA	Other genes
telomere_resids	II	14156272	F54F11.2b.1	nep-17	13514411	0.0229437241792292	0.172	NA	Other genes
telomere_resids	II	14156272	R06B9.1.1	arrd-11	14884692	0.0237102790089489	0.175	NA	Other genes
telomere_resids	II	14156272	B0344.2.1	wrt-9	12759500	0.0248540810008202	0.178	NA	Other genes
