WormBaseGeneID	RILtrait	RILe_chr	RILe_peak	RIL_var_exp	gene_Chr	gene_start	gene_end	RILe_start	RILe_end	RILeQTL_classification	RILHyperDivergent	RILhotspot_Chr	RILhotspot_cM	RILHotspot	RILHotspot_QTL_count	Hotspots_Detected_in_WIeQTL	Merged_RILHotspots_cM	merged_RILHotspots_QTL_count	Detected_in_WIeQTL	Chr_pos	eChr_pos
WBGene00007121	A_12_P100006	V	20486369	0.179381358982706	V	20458654	20464486	20135235	20921615	Local eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	Yes	V	V
WBGene00018264	A_12_P100032	V	2235863	0.704130209331257	V	2247254	2249410	2231050	2271884	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00018173	A_12_P100040	X	3843271	0.109573247175907	X	6693735	6695709	3789476	4025890	Distant eQTL	No	X	12	Yes	73		12	73	NA	X	X
WBGene00012000	A_12_P100042	II	8864770	0.613561442466318	II	9099371	9100694	8707524	9145624	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	II	II
WBGene00021418	A_12_P100044	IV	12963367	0.217842328010831	IV	2330193	2331009	12868784	13098759	Distant eQTL	No	IV	34.5	No	5	NA	NA	NA	NA	IV	IV
WBGene00021418	A_12_P100044	V	20486369	0.00328737131509933	IV	2330193	2331009	20135235	20921615	Distant eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	NA	IV	V
WBGene00012070	A_12_P100058	V	15426259	0.312316242374793	V	15427164	15435745	15339524	15660569	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00018463	A_12_P100060	X	1594701	0.103499774109434	X	8003733	8004077	1461018	2155975	Distant eQTL	No	X	3.5	No	3	NA	NA	NA	NA	X	X
WBGene00004746	A_12_P100063	X	3618239	0.108467736740207	X	11522707	11533450	3088382	3991931	Distant eQTL	No	X	11.5	No	3	NA	NA	NA	NA	X	X
WBGene00021055	A_12_P100068	II	1418895	0.270060893459275	II	4056030	4057653	1417887	1718365	Distant eQTL	No	II	3	No	3	NA	NA	NA	NA	II	II
WBGene00015281	A_12_P100076	X	5176675	0.121561876662929	IV	6638556	6639298	4483054	5569019	Distant eQTL	No	X	15	Yes	45	Yes	13, 13.5, 14, 14.5, 15, 15.5, 16, 16.5, 17	285	NA	IV	X
WBGene00008691	A_12_P100078	X	12932361	0.241353879328447	X	12985790	12987221	12893347	13024411	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	X	X
WBGene00008595	A_12_P100094	V	14789933	0.306255471788581	V	14474399	14476794	14290503	15132428	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	V	V
WBGene00015609	A_12_P100109	II	1732850	0.595500662281761	II	1778772	1782409	1727040	1856961	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	NA	II	II
WBGene00019515	A_12_P100123	IV	15399516	0.123702939025574	IV	6076686	6079952	15393010	15480399	Distant eQTL	No	IV	41.5	Yes	20	Yes	41.5, 42	61	NA	IV	IV
WBGene00003153	A_12_P100126	IV	1697436	0.110860725380123	IV	3103153	3133149	1500428	1782015	Distant eQTL	No	IV	12	No	4	NA	NA	NA	NA	IV	IV
WBGene00018572	A_12_P100138	IV	6475869	0.254633794429062	II	1233236	1252359	5531856	6766024	Distant eQTL	No	IV	30.5	Yes	10	Yes	30.5, 31, 31.5, 32	48	Yes	II	IV
WBGene00001919	A_12_P100152	III	1362120	0.118576764278413	IV	11326588	11326998	1188573	1460260	Distant eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	NA	IV	III
WBGene00003678	A_12_P100153	II	2914161	0.230539061485933	II	2976639	2987023	2901910	3026490	Local eQTL	Yes	NA	NA	NA	NA	NA	NA	NA	Yes	II	II
WBGene00020558	A_12_P100159	I	6651082	0.168946596507372	I	5674304	5676728	4775095	7273652	Local eQTL	No	NA	NA	NA	NA	NA	NA	NA	Yes	I	I
