organism_level_trait	QTL_Chr	QTL	mediator_transcript	mediator_gene	eQTL	mediation_estimate	adjusted_p	prop_med	q99_mediator
Albendazole_q90.TOF	II	2222527	M151.9	M151.9	3621475	0.155843243673885	0	0 ≤ prop_med ≤ 1	M151.9
Albendazole_q90.TOF	II	2222527	C54C6.2.1	ben-1	9695013	0.149952977325258	0.001	0 ≤ prop_med ≤ 1	ben-1
Albendazole_q90.TOF	II	2222527	ZK666.15.2	ZK666.15	12618952	0.0785077194041377	0.002	0 ≤ prop_med ≤ 1	ZK666.15
Albendazole_q90.TOF	II	2222527	R12E2.10.2	egg-5	13297850	0.0552221416128855	0.003	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	R09D1.9	R09D1.9	9294448	0.0512656881302406	0.008	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	F32A11.4	F32A11.4	13148489	0.0570239011995826	0.009	0 ≤ prop_med ≤ 1	F32A11.4
Albendazole_q90.TOF	II	2222527	Y46G5A.6	Y46G5A.6	2891293	0.0385129372975642	0.009	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	Y46G5A.6	Y46G5A.6	12801660	0.0385129372975642	0.009	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	Y110A2AR.2a.1	ubc-15	2968520	0.0534185235547764	0.01	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	Y49F6B.2.2	Y49F6B.2	3508441	0.0554131196205644	0.01	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	F33A8.3.1	cey-1	11027007	0.0372767880517533	0.011	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	T27F7.4.1	pigb-1	4670347	0.0335929640097649	0.013	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	ZK1307.6.2	fzr-1	9630347	0.0480688421203676	0.014	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	T06D4.1b.2	T06D4.1	3376313	0.0589682969935217	0.015	0 ≤ prop_med ≤ 1	T06D4.1
Albendazole_q90.TOF	II	2222527	C34F11.4.1	msp-50	5056463	0.0555030551201392	0.017	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	Y6D1A.3	Y6D1A.3	11831226	0.0447824237870972	0.017	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	W10D9.3a.1	W10D9.3	333781	0.142614363308889	0.02	0 ≤ prop_med ≤ 1	W10D9.3
Albendazole_q90.TOF	II	2222527	Y17G7B.5b.1	mcm-2	12003112	0.0357965324165712	0.02	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	C35B1.8.1	C35B1.8	12149641	0.0489684439701581	0.023	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	F44E5.3	F44E5.3	11703916	0.0476535382214609	0.023	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	Y113G7B.5b.2	fog-2	1203610	0.0321748710168167	0.023	NA	Other genes
Albendazole_q90.TOF	II	2222527	C05D12.2.1	C05D12.2	11442717	0.0356843610749019	0.027	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	K02F6.4.1	K02F6.4	2514462	0.0253972168597737	0.028	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	F44E5.5.1	F44E5.5	11733366	0.0331294957674584	0.029	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	K02C4.4a.1	ltd-1	1146328	0.0293145805146617	0.029	NA	Other genes
Albendazole_q90.TOF	II	2222527	F43G6.17a.1	F43G6.17	11818021	0.0318174616341149	0.031	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	T21E3.1.1	egg-4	13493538	0.0356420579028736	0.031	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	C08G5.2.1	fbxc-48	749717	0.0341834959138065	0.032	NA	Other genes
Albendazole_q90.TOF	II	2222527	K12H6.2.2	K12H6.2	2858869	0.0511931334449348	0.032	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	F10G7.2.1	tsn-1	6854401	0.0315844738955899	0.033	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	F35D11.5.2	coa-3	5354423	0.0343320408270219	0.035	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	C09H10.3.2	nuo-1	11092395	0.0318472599501568	0.038	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	Y46G5A.43	Y46G5A.43	12797115	0.0305192961684589	0.039	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	Y46G5A.18b.1	Y46G5A.18	12724884	0.0282985583203902	0.04	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	F59E10.2.2	cyn-4	10779962	0.0285501248970278	0.042	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	C08G5.1	C08G5.1	485573	0.0261881258122848	0.044	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	C32B5.12	fbxc-57	955009	0.037072581360298	0.046	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	T02H6.5.1	T02H6.5	671584	0.0269291667982937	0.046	0 ≤ prop_med ≤ 1	Other genes
Albendazole_q90.TOF	II	2222527	C17C3.12a.2	acdh-2	5751901	0.0596219069841867	0.047	0 ≤ prop_med ≤ 1	acdh-2
Albendazole_q90.TOF	II	2222527	F37B1.1.1	gst-24	13643165	0.0237343570835778	0.051	NA	Other genes
Albendazole_q90.TOF	II	2222527	F39E9.11.1	btb-17	3115702	0.0713097277491902	0.051	0 ≤ prop_med ≤ 1	btb-17
Albendazole_q90.TOF	II	2222527	R12E2.4b.1	inx-17	13297850	0.0378229610902137	0.053	NA	Other genes
Albendazole_q90.TOF	II	2222527	Y27F2A.3.1	sri-40	3408007	0.0479238376936531	0.054	NA	Other genes
Albendazole_q90.TOF	II	2222527	D2013.10.1	tag-175	9349351	0.0256964304088392	0.055	NA	Other genes
Albendazole_q90.TOF	II	2222527	F54D5.2.1	F54D5.2	10967877	0.0324789765459334	0.055	NA	Other genes
Albendazole_q90.TOF	II	2222527	ZC204.11	btb-13	1604326	0.0499400724923072	0.055	NA	Other genes
Albendazole_q90.TOF	II	2222527	F14D2.12.1	bath-30	2332234	0.0537912622456342	0.059	NA	Other genes
Albendazole_q90.TOF	II	2222527	W08G11.3a.2	W08G11.3	10141376	0.00207839768927102	0.059	NA	Other genes
