trait	ld_betw	eQTL_1	eQTL_2	LD	chroms
AC8.10.1	Local eQTL to Distant eQTL	X_340119	II_3333899	2.79227211466067e-06	Between different chromosomes
AC8.11.1	Local eQTL to Distant eQTL	X_340119	II_3333899	2.79227211466067e-06	Between different chromosomes
B0250.3	Local eQTL to Distant eQTL	V_20485920	I_1689321	0.179599260592569	Between different chromosomes
B0250.3	Local eQTL to Distant eQTL	V_20485920	II_473231	0.183700215270829	Between different chromosomes
B0250.3	Local eQTL to Distant eQTL	V_20485920	IV_15065063	0.10668198965484	Between different chromosomes
B0250.3	Local eQTL to Distant eQTL	V_20485920	V_5295653	0.148198933033016	On the same chromosome
B0294.3.1	Local eQTL to Distant eQTL	X_1853538	III_913808	0.00208085601804715	Between different chromosomes
B0391.8	Local eQTL to Distant eQTL	V_16236905	III_11395781	0.247765009978433	Between different chromosomes
C01B9.1b.1	Local eQTL to Distant eQTL	II_13519520	II_1186497	0.165476832983675	On the same chromosome
C03G5.13.1	Local eQTL to Distant eQTL	X_8481819	V_4944947	0.544097877062432	Between different chromosomes
C03G5.9.1	Local eQTL to Distant eQTL	X_8522871	II_13222389	0.289705977350776	Between different chromosomes
C03G5.9.1	Local eQTL to Distant eQTL	X_8522871	V_10037950	0.682630062636451	Between different chromosomes
C04C3.7.1	Local eQTL to Distant eQTL	IV_3442974	I_12490467	0.00480889889415018	Between different chromosomes
C06C3.6.1	Local eQTL to Distant eQTL	II_10241725	I_14172637	0.0253144447779901	Between different chromosomes
C06H2.3a.1	Local eQTL to Distant eQTL	V_11128459	I_9765400	0.347532290384191	Between different chromosomes
C07A9.3c.1	Local eQTL to Distant eQTL	III_9743864	II_6775816	0.463066348870666	Between different chromosomes
C08E3.11	Local eQTL to Distant eQTL	II_2181630	I_13355703	0.0642692436171806	Between different chromosomes
C08E3.12.1	Local eQTL to Distant eQTL	II_2111466	I_13171417	0.00677646799216482	Between different chromosomes
C08F1.1	Local eQTL to Distant eQTL	II_1739882	I_14187420	0.103872305592739	Between different chromosomes
C11D2.7.2	Local eQTL to Distant eQTL	IV_6137181	III_1644607	0.485529370625221	Between different chromosomes
C14B1.1.1	Local eQTL to Distant eQTL	III_2859298	II_10372255	0.279925889334531	Between different chromosomes
C14F5.3c.2	Local eQTL to Distant eQTL	X_7054469	I_14721419	0.313514511295377	Between different chromosomes
C14F5.3c.2	Local eQTL to Distant eQTL	X_7054469	V_13589743	0.506838501772619	Between different chromosomes
C14F5.3c.2	Local eQTL to Distant eQTL	X_7054469	V_19691145	0.343695497246459	Between different chromosomes
C17C3.1a.1	Local eQTL to Distant eQTL	II_5110041	I_345372	0.282776874486341	Between different chromosomes
C18D4.6a.1	Local eQTL to Distant eQTL	V_17928339	IV_4956803	0.287245102071035	Between different chromosomes
C18G1.8.1	Local eQTL to Distant eQTL	V_4762054	II_14074934	0.213080943904784	Between different chromosomes
C23F12.1u.1	Local eQTL to Distant eQTL	X_9083055	II_946924	0.130733688213814	Between different chromosomes
C23H5.15.1	Local eQTL to Distant eQTL	IV_2086977	I_11834253	0.00167130636842348	Between different chromosomes
C24A8.4.2	Local eQTL to Distant eQTL	X_4294769	IV_9026757	0.0642546134391327	Between different chromosomes
C24H12.11	Local eQTL to Distant eQTL	II_395125	I_4316884	0.0372391960596107	Between different chromosomes
C25A6.1.1	Local eQTL to Distant eQTL	V_5516547	II_946924	0.0950185116463765	Between different chromosomes
C35B1.8.1	Local eQTL to Distant eQTL	IV_3977772	II_12149641	0.243661873385862	Between different chromosomes
C37E2.1.2	Local eQTL to Distant eQTL	X_14103573	II_5418371	0.24366187338586	Between different chromosomes
C38D9.2.1	Local eQTL to Distant eQTL	V_18019275	II_4428551	0.101398738913416	Between different chromosomes
C38D9.2.1	Local eQTL to Distant eQTL	V_18019275	II_9909364	0.0459514635727639	Between different chromosomes
C38D9.2.1	Local eQTL to Distant eQTL	V_18019275	III_3699517	0.0910718560604201	Between different chromosomes
C38D9.2.1	Local eQTL to Distant eQTL	V_18019275	IV_3317382	0.164146422764399	Between different chromosomes
C41G11.3a.2	Local eQTL to Distant eQTL	X_6526258	II_499521	0.161674573703975	Between different chromosomes
C41G11.3a.2	Local eQTL to Distant eQTL	X_6526258	IV_11635759	0.242034633666291	Between different chromosomes
C41G11.3a.2	Local eQTL to Distant eQTL	X_6526258	V_14444778	0.146064894938733	Between different chromosomes
C44B11.6.1	Local eQTL to Distant eQTL	III_3131140	II_14242669	0.236849729851613	Between different chromosomes
C46G7.4t.1	Local eQTL to Distant eQTL	IV_6958917	II_946924	0.0363571052174003	Between different chromosomes
C47E8.7.2	Local eQTL to Distant eQTL	V_14696659	I_11381435	0.416654303889883	Between different chromosomes
C47E8.8d.1	Local eQTL to Distant eQTL	V_14689759	I_1334072	0.0182323981685517	Between different chromosomes
C49G7.11.1	Local eQTL to Distant eQTL	V_4037590	I_922115	0.330289534692872	Between different chromosomes
C49G7.13.1	Local eQTL to Distant eQTL	V_4037590	I_2733130	0.330289534692872	Between different chromosomes
C49G7.4.1	Local eQTL to Distant eQTL	V_4039065	I_1105334	0.464880133961895	Between different chromosomes
C49G7.7.2	Local eQTL to Distant eQTL	V_4415549	IV_6539887	0.387501020406813	Between different chromosomes
C49G7.8.1	Local eQTL to Distant eQTL	V_4042785	II_3047704	0.0075328376933367	Between different chromosomes
C50E10.2c.1	Local eQTL to Distant eQTL	II_12301768	II_4494212	0.466643058851826	On the same chromosome
C52B11.3.1	Local eQTL to Distant eQTL	X_1436636	V_4375888	0.131931986316298	Between different chromosomes
C54D10.14b.1	Local eQTL to Distant eQTL	V_13309513	II_3564780	0.244723411647409	Between different chromosomes
C54E10.1	Local eQTL to Distant eQTL	V_18828736	I_1572898	0.00132733730905537	Between different chromosomes
C54E10.1	Local eQTL to Distant eQTL	V_18828736	II_14292281	0.000469994256792509	Between different chromosomes
C55A6.1.1	Local eQTL to Distant eQTL	V_11238035	I_13171417	0.142210664570388	Between different chromosomes
C55A6.1.2	Local eQTL to Distant eQTL	V_11238035	I_13171417	0.142210664570388	Between different chromosomes
C55A6.1.2	Local eQTL to Distant eQTL	V_11238035	IV_12688395	0.0964954298431315	Between different chromosomes
CE7X_3.1	Local eQTL to Distant eQTL	X_303285	I_13410898	0.323145526724466	Between different chromosomes
