transcript	eQTL_Chr	eQTL_peak	finemapping_gene	finemapping_variant	BLOSUM	VARIANT_IMPACT	class	hotspot_cM	hotspot_Chr	Merged_hotspots_cM
AC3.12.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	III	45.5
AC3.12.1	V	20410593	ttx-1	20064158	-2	HIGH	TF	45.5	V	44.5, 45, 45.5
B0035.12.2	II	9332768	aptf-4	8592250	-1	HIGH	TF	19.5	II	19, 19.5
B0035.12.2	II	9332768	aptf-4	8592250	-1	HIGH	TF	19.5	X	18.5, 19, 19.5
B0035.12.2	II	9332768	E02H1.5	9595509	-2	HIGH	TF	19.5	II	19, 19.5
B0035.12.2	II	9332768	E02H1.5	9595509	-2	HIGH	TF	19.5	X	18.5, 19, 19.5
B0035.12.2	II	9332768	mab-3	9735025	-1	HIGH	TF	19.5	II	19, 19.5
B0035.12.2	II	9332768	mab-3	9735025	-1	HIGH	TF	19.5	X	18.5, 19, 19.5
B0205.14.1	IV	6611540	hil-2	6294361	-2	HIGH	Chromatin cofactor	30.5	IV	30.5, 31, 31.5, 32, 32.5
B0205.14.1	IV	6611540	hil-2	6294361	-2	HIGH	Chromatin cofactor	30.5	V	30.5
B0213.5.1	V	7317606	nhr-148	7343333	-2	HIGH	TF	21	V	21
B0213.5.1	V	7317606	nhr-148	7343333	-2	HIGH	TF	21	I	21
B0238.15.1	V	10412590	nhr-143	8974472	-1	HIGH	TF	23	V	23, 23.5
B0238.15.1	V	10412590	jmjd-5	11128895	-1	HIGH	Chromatin cofactor	23	V	23, 23.5
B0331.1.1	IV	4665571	hil-2	6294361	-2	HIGH	Chromatin cofactor	28	IV	27.5, 28
B0564.10a.1	V	14822751	set-5	14699485	-4	HIGH	Chromatin cofactor	27	V	26, 26.5, 27
B0564.10a.1	V	14822751	set-5	14699485	-4	HIGH	Chromatin cofactor	27	III	26, 26.5, 27, 27.5
C01G12.1.2	X	8740424	sprp-4	8850619	-2	HIGH	TF	21.5	X	21.5, 22
C01G12.1.2	X	8740424	sprp-4	8850619	-2	HIGH	TF	21.5	II	21.5
