trait	transcript	log10p	transcript_Chr	transcript_start
q90TOF_reg_2L52.1a.1	2L52.1a.1	33.006865200399	II	1848
q90TOF_reg_2RSSE.1a.1	2RSSE.1a.1	35.6786072947463	II	15268212
q90TOF_reg_2RSSE.1b.1	2RSSE.1b.1	35.3625739031728	II	15268210
q90TOF_reg_2RSSE.1c.1	2RSSE.1c.1	35.3049400943339	II	15268210
q90TOF_reg_2RSSE.3	2RSSE.3	35.5976236093937	II	15277890
q90TOF_reg_3R5.1a.1	3R5.1a.1	34.5268160512315	III	13780215
q90TOF_reg_3R5.1b.1	3R5.1b.1	35.3295990105806	III	13773449
q90TOF_reg_3R5.1b.2	3R5.1b.2	35.4864853653126	III	13777624
q90TOF_reg_4R79.1a.1	4R79.1a.1	34.8040293821883	IV	17486842
q90TOF_reg_4R79.2a.1	4R79.2a.1	35.7400748193343	IV	17480298
q90TOF_reg_AC3.10.1	AC3.10.1	36.3707781040252	V	10384250
q90TOF_reg_AC3.12.1	AC3.12.1	35.7454209166839	V	10378938
q90TOF_reg_AC3.2.1	AC3.2.1	36.0208709863162	V	10372321
q90TOF_reg_AC3.3.1	AC3.3.1	34.2192513027759	V	10380340
q90TOF_reg_AC3.4.1	AC3.4.1	34.3437318863918	V	10382442
q90TOF_reg_AC3.5a.1	AC3.5a.1	36.0458417950656	V	10388527
q90TOF_reg_AC3.7.1	AC3.7.1	36.2027183452555	V	10395663
q90TOF_reg_AC3.8.1	AC3.8.1	35.1707837629628	V	10398717
q90TOF_reg_AC3.9	AC3.9	35.2836824601748	V	10374851
q90TOF_reg_AC7.1a.1	AC7.1a.1	35.8303266784285	IV	5112929
q90TOF_reg_AC7.1b.1	AC7.1b.1	36.2846129364519	IV	5113027
q90TOF_reg_AC7.2a.1	AC7.2a.1	35.5036869073084	IV	5127006
q90TOF_reg_AC7.2a.2	AC7.2a.2	35.3311329883971	IV	5127006
q90TOF_reg_AC7.2b.1	AC7.2b.1	35.3652784570642	IV	5127041
q90TOF_reg_AC7.2c.1	AC7.2c.1	34.8456968240036	IV	5127041
q90TOF_reg_AC7.3.1	AC7.3.1	36.4221576908606	IV	5111833
q90TOF_reg_AC8.10.1	AC8.10.1	35.6199609490942	X	237496
q90TOF_reg_AC8.11.1	AC8.11.1	35.7694170903816	X	226254
q90TOF_reg_AC8.12	AC8.12	35.2641929853733	X	239849
q90TOF_reg_AC8.1	AC8.1	35.0641280710109	X	242291
q90TOF_reg_AC8.2	AC8.2	34.9376742339951	X	248343
q90TOF_reg_AC8.4.1	AC8.4.1	36.218208223195	X	226651
q90TOF_reg_AC8.5	AC8.5	33.6477474382117	X	221017
q90TOF_reg_AC8.7	AC8.7	35.2641929853733	X	230433
q90TOF_reg_AH10.1.1	AH10.1.1	35.7352698050734	V	14146499
q90TOF_reg_AH10.4.1	AH10.4.1	35.4843605977295	V	14137348
q90TOF_reg_AH6.2.1	AH6.2.1	36.2526243078983	II	9517567
q90TOF_reg_AH6.3.1	AH6.3.1	36.1115958096154	II	9519055
q90TOF_reg_AH6.5.2	AH6.5.2	35.4076982162372	II	9524165
